,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
53,,,WP Bütteler Balje,SEN SON,Enercon,E82,10290963,SEN SON WTS Serration (213558),ULFKOC,2021-04-06,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 1 von 1,E826119,WEA 5,84.5,82.0,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,2022-02-25,2022-06-07,2022-09-13,Approved,file:///A:\___Projekte\10290963_2021 E82 SEN SON WP Bütteler Balje WTS (Klaus Röhm) ,54.150199,8.954711,213558.0
54,,,Olderup,SEN,Vestas,V117,10303356,SEN V117 Olderup II (217426),RICFRE,2021-07-08,Windpark II Olderup GmbH & Co. KG,Karina Ingwersen,WEA 1 von 1,218962,,91.5,117.0,Unbekannt,Ja,Ja,,,5.0,15.0,W,,,,,2023-02-10,,,Approved,file:///A:\___Projekte\10303356_2021 V117 SEN Olderup Windpark II Olderup GmbH und Co KG (Karina Ingwersen) ,54.527175,9.093228,217426.0
55,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 1 von 2,236762,WEA03,149.0,136.0,Ja,Ja,Ja,,,7.0,17.0,W,,,,,2022-10-14,2023-01-13,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,52.306794,14.382808,217564.0
56,,,WP Biegen,SEN,Vestas,V136,10304360,SEN V136 Biegen WPD (217564),JOPRZ,2021-07-16,wpd windmanager GmbH & Co. KG,Margot Petersen-Jaenicke,WEA 2 von 2,236760,WEA01,149.0,136.0,Ja,Ja,Ja,,,7.0,17.0,W,,,,,2023-01-13,,,Approved,file:///A:\___Projekte\10304360_2021 V136 SEN WP Biegen WPD (Margot Petersen_Jaenicke) ,52.30393,14.386941,217564.0
57,,,Reußenköge,SET,Vestas,V112,10307415,SET V210165 Reußenk (220242),ULMR,2021-08-24,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V210165,,94.0,112.0,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,2021-07-30,,,Approved,file:///A:\___Projekte\10307415_2021 V112 SET Reußenköge Vestas (Helge Schnehle) ,54.619877,8.89624,220242.0
58,,,KWK,SEN,Enercon,E115,10307971,SEN E115 KW-Koog (210762),ULFKOC,2021-08-27,et marschland GmbH & CO. KG,Jan Heckens,WEA 1 von 1,E1160069,,92.0,115.71,Unbekannt,Ja,Ja,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10307971_2021 E115 SEN KWK WES Ibs (Jan Heckens) ,53.951897,8.929493,210762.0
59,,,Miltzow,SEN,Vestas,V90,10308233,SEN Miltzow 205788 (220469),JOPRZ,2021-08-23,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V205788,WEA 01,105.0,90.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,2022-01-05,,,Approved,file:///A:\___Projekte\10308233_2021 V90 SEN Miltzow Vestas D (Helge Schnehle) ,54.195926,13.164507,220469.0
60,,,WP Neuenkirchen,SEN,Enercon,E115,10308234,SEN WP Neuenkirchen (201557),ULMR,2021-09-01,WES IBS Betriebsführungs- und Verwaltungs GmbH,Jan Heckens,WEA 1 von 1,E1160084,,122.0,116.0,Ja,Ja,Ja,,,6.0,16.0,W,,,,,,2023-03-23,,Approved,file:///A:\___Projekte\10308234_2021 E115 SEN WP Neuenkirchen WES Ibs (Jan Heckens) ,54.252919,8.956609,201557.0
61,,,Dagebüll,SEN,Vestas,V112,10309140,SEN V235642 Dagebüll (220914),RICFRE,2021-09-09,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V235642,WEA 9,112.0,136.0,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,2021-09-16,2021-12-08,,Approved,file:///A:\___Projekte\10309140_2021 V112 SEN Dagebüll Vestas D (Helge Schnehle) ,54.72787,8.751881,220914.0
62,,Das ist nicht klar,WP Brest,SEN LZM,Vestas,EVENTUS 150,10312637,SEN WP Brest (221498),ULFKOC,2021-10-01,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,,,,,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10312637_2021 EVENTUS 150 SEN LZM WP Brest Vestas D (Helge Schnehle) ,53.437969,9.391169,221498.0
64,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),PHISCH,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 1 von 3,237457,WEA 1,166.0,150.0,Unbekannt,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0238,8.94868,222575.0
65,,,WP Achim Bollen,SEN,Vestas,V150,10324767,SEN 3x V150 WP Achim (222575),PHISCH,2021-11-19,wpd windmanager technik GmbH,Margot Petersen-Jaenicke,WEA 2 von 3,237458,WEA 2,166.0,150.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,file:///A:\___Projekte\10324767_2021 V150 SEN WP Achim Bollen wpd (Margot Petersen_Jaenicke) ,53.0216,8.94175,222575.0
